MaNV,HoTen,NgaySinh,SoDienThoai,Email,PhongBan,ChucVu,MucLuong,MucThuong
NV001,Nguyen Van A,1990-05-15,0901234567,nva@congty.com,IT,Truong phong,35000000,5000000
NV002,Tran Thi B,1993-08-22,0912345678,ttb@congty.com,HR,Chuyen vien,18000000,2000000
NV003,Le Van C,1988-11-02,0923456789,lvc@congty.com,Ke toan,Ke toan truong,28000000,4000000
NV004,Pham Thi D,1995-01-10,0934567890,ptd@congty.com,Marketing,Nhan vien,15000000,3000000
NV005,Hoang Van E,1991-07-30,0945678901,hve@congty.com,Kinh doanh,Truong phong,40000000,10000000
NV006,Ngo Thi F,1996-03-25,0956789012,ntf@congty.com,IT,Nhan vien,16000000,1500000
NV007,Vu Van G,1989-12-12,0967890123,vvg@congty.com,Kinh doanh,Nhan vien,14000000,5000000
NV008,Dang Thi H,1994-06-05,0978901234,dth@congty.com,HR,Truong phong,30000000,4000000
NV009,Bui Van I,1992-09-18,0989012345,bvi@congty.com,Ke toan,Nhan vien,15000000,2000000
NV010,Do Thi K,1997-04-14,0990123456,dtk@congty.com,Marketing,Chuyen vien,20000000,3500000
NV011,Ly Van L,1990-10-20,0902345678,lvl@congty.com,IT,Chuyen vien,25000000,3000000
NV012,Truong Thi M,1995-02-28,0913456789,ttm@congty.com,Kinh doanh,Nhan vien,14500000,6000000
NV013,Phan Van N,1987-05-09,0924567890,pvn@congty.com,IT,Nhan vien,17000000,2000000
NV014,Dinh Thi O,1993-11-15,0935678901,dto@congty.com,HR,Nhan vien,14000000,1500000
NV015,Cao Van P,1986-01-22,0946789012,cvp@congty.com,Kinh doanh,Pho phong,30000000,8000000
NV016,Mai Thi Q,1998-08-08,0957890123,mtq@congty.com,Marketing,Nhan vien,13000000,2000000
NV017,Dao Van R,1991-04-03,0968901234,dvr@congty.com,Ke toan,Nhan vien,16000000,2500000
NV018,Phung Thi S,1996-12-19,0979012345,pts@congty.com,IT,Chuyen vien,22000000,2500000
NV019,Trinh Van T,1994-07-07,0980123456,tvt@congty.com,Kinh doanh,Nhan vien,15000000,4500000
NV020,Ton Thi U,1992-03-31,0991234567,ttu@congty.com,HR,Chuyen vien,19000000,2500000
